fiindex,fi_opcode,crash,benign,SDC
1174,getelementptr,0.6333333333333333,0.16666666666666666,0.20000000000000007
1175,load,0.0,0.7666666666666667,0.23333333333333328
1177,getelementptr,0.7333333333333333,0.06666666666666667,0.20000000000000007
1178,load,0.0,0.7,0.30000000000000004
1179,getelementptr,0.7,0.2,0.10000000000000009
1181,getelementptr,0.7333333333333333,0.1,0.16666666666666674
1182,load,0.0,0.5,0.5
1183,getelementptr,0.6,0.23333333333333334,0.16666666666666663
1185,getelementptr,0.6,0.1,0.30000000000000004
1186,load,0.0,0.8333333333333334,0.16666666666666663
1187,getelementptr,0.7666666666666667,0.13333333333333333,0.09999999999999998
1189,getelementptr,0.8666666666666667,0.06666666666666667,0.06666666666666665
1190,load,0.0,0.8,0.19999999999999996
1191,getelementptr,0.8,0.1,0.09999999999999998
1193,getelementptr,0.6666666666666666,0.13333333333333333,0.20000000000000007
1194,load,0.0,0.8,0.19999999999999996
1195,getelementptr,0.8,0.16666666666666666,0.033333333333333326
1197,getelementptr,0.6333333333333333,0.13333333333333333,0.2333333333333334
1198,load,0.0,0.8,0.19999999999999996
1199,getelementptr,0.6666666666666666,0.13333333333333333,0.20000000000000007
1201,getelementptr,0.7,0.13333333333333333,0.16666666666666674
1202,load,0.0,0.7,0.30000000000000004
1203,getelementptr,0.8333333333333334,0.06666666666666667,0.09999999999999998
1270,getelementptr,0.6666666666666666,0.1,0.2333333333333334
1271,load,0.0,0.6666666666666666,0.33333333333333337
1272,getelementptr,0.7333333333333333,0.13333333333333333,0.13333333333333341
1273,load,0.0,0.8666666666666667,0.1333333333333333
1274,getelementptr,0.7333333333333333,0.1,0.16666666666666674
1275,load,0.0,0.7,0.30000000000000004
1276,getelementptr,0.8333333333333334,0.03333333333333333,0.1333333333333333
1277,load,0.0,0.8333333333333334,0.16666666666666663
1278,getelementptr,0.7,0.16666666666666666,0.13333333333333341
1279,load,0.0,0.8666666666666667,0.1333333333333333
1280,getelementptr,0.8666666666666667,0.06666666666666667,0.06666666666666665
1281,load,0.0,0.7666666666666667,0.23333333333333328
1282,getelementptr,0.7,0.16666666666666666,0.13333333333333341
1283,load,0.0,0.6666666666666666,0.33333333333333337
1284,getelementptr,0.7,0.06666666666666667,0.2333333333333334
1285,load,0.0,0.7,0.30000000000000004
1286,getelementptr,0.7666666666666667,0.06666666666666667,0.16666666666666663
1287,load,0.0,0.7333333333333333,0.2666666666666667
1288,getelementptr,0.7666666666666667,0.03333333333333333,0.19999999999999996
